order_id,user_id,order_date,product,category,quantity,amount,channel
SALE_00001,ANON-0000-0000-0001,2024-03-01,Latte,咖啡,1,38.7,card
SALE_00002,ANON-0000-0000-0008,2024-03-01,Americano with Milk,咖啡,1,33.8,card
SALE_00003,ANON-0000-0000-0008,2024-03-01,Cocoa,其他,1,38.7,card
SALE_00004,ANON-0000-0000-0007,2024-03-01,Americano with Milk,咖啡,1,33.8,card
SALE_00005,ANON-0000-0000-0006,2024-03-01,Hot Chocolate,热饮,1,38.7,card
SALE_00006,ANON-0000-0000-0009,2024-03-01,Americano with Milk,咖啡,1,33.8,card
SALE_00007,ANON-0000-0000-0004,2024-03-01,Latte,咖啡,1,38.7,card
SALE_00008,ANON-0000-0000-0003,2024-03-01,Americano,咖啡,1,28.9,card
SALE_00009,ANON-0000-0000-0002,2024-03-01,Hot Chocolate,热饮,1,38.7,card
SALE_00010,ANON-0000-0000-0002,2024-03-01,Hot Chocolate,热饮,1,38.7,card
SALE_00011,ANON-0000-0000-0005,2024-03-01,Americano with Milk,咖啡,1,33.8,card
SALE_00012,ANON-0000-0000-0010,2024-03-02,Americano,咖啡,1,28.9,card
SALE_00013,CASH_00001,2024-03-02,Latte,咖啡,1,40.0,cash
SALE_00014,ANON-0000-0000-0011,2024-03-02,Americano with Milk,咖啡,1,33.8,card
SALE_00015,ANON-0000-0000-0012,2024-03-02,Americano with Milk,咖啡,1,33.8,card
SALE_00016,ANON-0000-0000-0013,2024-03-02,Americano,咖啡,1,28.9,card
SALE_00017,ANON-0000-0000-0014,2024-03-02,Americano with Milk,咖啡,1,33.8,card
SALE_00018,ANON-0000-0000-0004,2024-03-02,Americano,咖啡,1,28.9,card
SALE_00019,ANON-0000-0000-0019,2024-03-03,Cortado,其他,1,28.9,card
SALE_00020,ANON-0000-0000-0020,2024-03-03,Americano with Milk,咖啡,1,33.8,card
SALE_00021,ANON-0000-0000-0020,2024-03-03,Americano with Milk,咖啡,1,33.8,card
SALE_00022,ANON-0000-0000-0018,2024-03-03,Cocoa,其他,1,38.7,card
SALE_00023,ANON-0000-0000-0020,2024-03-03,Hot Chocolate,热饮,1,38.7,card
SALE_00024,ANON-0000-0000-0012,2024-03-03,Americano,咖啡,1,28.9,card
SALE_00025,ANON-0000-0000-0016,2024-03-03,Cortado,其他,1,28.9,card
SALE_00026,ANON-0000-0000-0015,2024-03-03,Latte,咖啡,1,38.7,card
SALE_00027,CASH_00002,2024-03-03,Latte,咖啡,1,40.0,cash
SALE_00028,ANON-0000-0000-0017,2024-03-03,Hot Chocolate,热饮,1,38.7,card
SALE_00029,ANON-0000-0000-0001,2024-03-04,Latte,咖啡,1,38.7,card
SALE_00030,ANON-0000-0000-0021,2024-03-04,Latte,咖啡,1,38.7,card
SALE_00031,ANON-0000-0000-0012,2024-03-04,Americano with Milk,咖啡,1,33.8,card
SALE_00032,ANON-0000-0000-0022,2024-03-04,Espresso,咖啡,1,24.0,card
SALE_00033,ANON-0000-0000-0028,2024-03-05,Hot Chocolate,热饮,1,38.7,card
SALE_00034,ANON-0000-0000-0009,2024-03-05,Hot Chocolate,热饮,1,38.7,card
SALE_00035,ANON-0000-0000-0027,2024-03-05,Hot Chocolate,热饮,1,38.7,card
SALE_00036,ANON-0000-0000-0026,2024-03-05,Cocoa,其他,1,38.7,card
SALE_00037,ANON-0000-0000-0028,2024-03-05,Cortado,其他,1,28.9,card
SALE_00038,ANON-0000-0000-0024,2024-03-05,Latte,咖啡,1,38.7,card
SALE_00039,ANON-0000-0000-0023,2024-03-05,Latte,咖啡,1,38.7,card
SALE_00040,ANON-0000-0000-0001,2024-03-05,Latte,咖啡,1,38.7,card
SALE_00041,ANON-0000-0000-0025,2024-03-05,Hot Chocolate,热饮,1,38.7,card
SALE_00042,CASH_00003,2024-03-06,Americano with Milk,咖啡,1,35.0,cash
SALE_00043,ANON-0000-0000-0012,2024-03-06,Americano,咖啡,1,28.9,card
SALE_00044,ANON-0000-0000-0012,2024-03-06,Cortado,其他,1,28.9,card
SALE_00045,ANON-0000-0000-0029,2024-03-06,Cappuccino,咖啡,1,38.7,card
SALE_00046,ANON-0000-0000-0029,2024-03-06,Cappuccino,咖啡,1,38.7,card
SALE_00047,ANON-0000-0000-0033,2024-03-07,Americano with Milk,咖啡,1,33.8,card
SALE_00048,ANON-0000-0000-0032,2024-03-07,Americano,咖啡,1,28.9,card
SALE_00049,CASH_00004,2024-03-07,Latte,咖啡,1,40.0,cash
SALE_00050,CASH_00005,2024-03-07,Latte,咖啡,1,40.0,cash
SALE_00051,ANON-0000-0000-0030,2024-03-07,Hot Chocolate,热饮,1,38.7,card
SALE_00052,ANON-0000-0000-0031,2024-03-07,Latte,咖啡,1,38.7,card
SALE_00053,ANON-0000-0000-0012,2024-03-08,Americano with Milk,咖啡,1,33.8,card
SALE_00054,ANON-0000-0000-0037,2024-03-08,Latte,咖啡,1,38.7,card
SALE_00055,ANON-0000-0000-0036,2024-03-08,Latte,咖啡,1,38.7,card
SALE_00056,ANON-0000-0000-0033,2024-03-08,Americano,咖啡,1,28.9,card
SALE_00057,ANON-0000-0000-0035,2024-03-08,Americano,咖啡,1,28.9,card
SALE_00058,ANON-0000-0000-0034,2024-03-08,Cappuccino,咖啡,1,38.7,card
SALE_00059,ANON-0000-0000-0012,2024-03-08,Cortado,其他,1,28.9,card
SALE_00060,ANON-0000-0000-0012,2024-03-08,Americano,咖啡,1,28.9,card
SALE_00061,ANON-0000-0000-0009,2024-03-09,Americano with Milk,咖啡,1,33.8,card
SALE_00062,ANON-0000-0000-0009,2024-03-09,Hot Chocolate,热饮,1,38.7,card
SALE_00063,ANON-0000-0000-0009,2024-03-09,Cappuccino,咖啡,1,38.7,card
SALE_00064,ANON-0000-0000-0044,2024-03-09,Hot Chocolate,热饮,1,38.7,card
SALE_00065,ANON-0000-0000-0043,2024-03-09,Cortado,其他,1,28.9,card
SALE_00066,ANON-0000-0000-0042,2024-03-09,Americano with Milk,咖啡,1,33.8,card
SALE_00067,ANON-0000-0000-0043,2024-03-09,Cappuccino,咖啡,1,38.7,card
SALE_00068,ANON-0000-0000-0040,2024-03-09,Americano,咖啡,1,28.9,card
SALE_00069,ANON-0000-0000-0040,2024-03-09,Americano,咖啡,1,28.9,card
SALE_00070,ANON-0000-0000-0012,2024-03-09,Cappuccino,咖啡,1,38.7,card
SALE_00071,ANON-0000-0000-0039,2024-03-09,Americano,咖啡,1,28.9,card
SALE_00072,ANON-0000-0000-0038,2024-03-09,Espresso,咖啡,1,24.0,card
SALE_00073,CASH_00006,2024-03-09,Hot Chocolate,热饮,1,40.0,cash
SALE_00074,ANON-0000-0000-0041,2024-03-09,Latte,咖啡,1,38.7,card
SALE_00075,ANON-0000-0000-0046,2024-03-10,Cortado,其他,1,28.9,card
SALE_00076,CASH_00007,2024-03-10,Americano,咖啡,1,30.0,cash
SALE_00077,CASH_00008,2024-03-10,Americano with Milk,咖啡,1,35.0,cash
SALE_00078,CASH_00009,2024-03-10,Latte,咖啡,1,40.0,cash
SALE_00079,ANON-0000-0000-0045,2024-03-10,Espresso,咖啡,1,24.0,card
SALE_00080,CASH_00010,2024-03-10,Americano with Milk,咖啡,1,35.0,cash
