user_id,last_order,frequency,monetary,recency,R_score,F_score,M_score,segment,city,channel
U0001,2026-06-29,21,995.3000000000001,1,4,4,4,重要价值客户,上海,小程序
U0002,2026-06-29,35,1946.5,1,4,4,4,重要价值客户,北京,APP
U0003,2026-06-16,22,1123.6,14,3,4,4,一般价值客户,上海,饿了么
U0004,2026-06-26,18,871.5,4,4,4,4,重要价值客户,成都,美团
U0005,2026-06-18,23,1100.7,12,3,4,4,一般价值客户,上海,小程序
U0006,2026-06-24,22,1070.4,6,3,4,4,一般价值客户,北京,饿了么
U0007,2026-06-30,32,1848.1,0,4,4,4,重要价值客户,上海,饿了么
U0008,2026-06-20,20,897.2,10,3,4,4,一般价值客户,成都,美团
U0009,2026-06-20,18,882.8,10,3,4,4,一般价值客户,杭州,饿了么
U0010,2026-06-27,25,1406.7,3,4,4,4,重要价值客户,上海,APP
U0011,2026-06-30,25,1499.0,0,4,4,4,重要价值客户,杭州,门店
U0012,2026-06-10,25,1594.8,20,2,4,4,重要唤回客户,北京,APP
U0013,2026-06-30,19,946.6,0,4,4,4,重要价值客户,上海,小程序
U0014,2026-06-22,26,1395.8,8,3,4,4,一般价值客户,上海,门店
U0015,2026-06-27,33,2012.2,3,4,4,4,重要价值客户,成都,门店
U0016,2026-06-06,23,1155.9,24,2,4,4,重要唤回客户,杭州,饿了么
U0017,2026-06-24,29,1796.4,6,3,4,4,一般价值客户,杭州,小程序
U0018,2026-06-30,21,1224.6,0,4,4,4,重要价值客户,深圳,饿了么
U0019,2026-06-20,19,1017.2,10,3,4,4,一般价值客户,成都,APP
U0020,2026-06-30,34,1577.8999999999999,0,4,4,4,重要价值客户,上海,小程序
U0021,2026-06-30,35,1724.1,0,4,4,4,重要价值客户,北京,门店
U0022,2026-06-20,34,2129.7,10,3,4,4,一般价值客户,北京,小程序
U0023,2026-06-29,32,1561.0,1,4,4,4,重要价值客户,深圳,美团
U0024,2026-06-29,20,950.0,1,4,4,4,重要价值客户,深圳,APP
U0025,2026-06-29,27,1302.1,1,4,4,4,重要价值客户,深圳,APP
U0026,2026-06-29,22,1292.0,1,4,4,4,重要价值客户,深圳,小程序
U0027,2026-06-29,30,1478.8999999999999,1,4,4,4,重要价值客户,北京,饿了么
U0028,2026-06-15,25,1390.6,15,3,4,4,一般价值客户,北京,美团
U0029,2026-06-17,25,1373.7,13,3,4,4,一般价值客户,深圳,饿了么
U0030,2026-06-30,34,1693.1,0,4,4,4,重要价值客户,深圳,小程序
U0031,2026-06-19,31,1662.1,11,3,4,4,一般价值客户,上海,门店
U0032,2026-06-25,20,845.6,5,3,4,4,一般价值客户,深圳,小程序
U0033,2026-06-29,21,1153.8,1,4,4,4,重要价值客户,成都,门店
U0034,2026-06-27,22,1184.4,3,4,4,4,重要价值客户,杭州,美团
U0035,2026-06-29,26,1313.8,1,4,4,4,重要价值客户,杭州,APP
U0036,2026-06-06,24,1106.2,24,2,4,4,重要唤回客户,北京,APP
U0037,2026-06-30,23,1078.5,0,4,4,4,重要价值客户,成都,门店
U0038,2026-06-29,22,981.3,1,4,4,4,重要价值客户,杭州,饿了么
U0039,2026-06-28,27,1108.4,2,4,4,4,重要价值客户,深圳,APP
U0040,2026-06-25,32,1510.8,5,3,4,4,一般价值客户,成都,美团
U0041,2026-06-20,34,1930.0,10,3,4,4,一般价值客户,上海,小程序
U0042,2026-06-19,23,1356.9,11,3,4,4,一般价值客户,北京,美团
U0043,2026-06-30,35,1976.2,0,4,4,4,重要价值客户,上海,美团
U0044,2026-06-22,34,1928.0,8,3,4,4,一般价值客户,成都,美团
U0045,2026-06-29,33,1791.4,1,4,4,4,重要价值客户,深圳,饿了么
U0046,2026-06-28,28,1501.4,2,4,4,4,重要价值客户,上海,饿了么
U0047,2026-06-29,31,1737.7,1,4,4,4,重要价值客户,深圳,小程序
U0048,2026-06-16,27,1374.5,14,3,4,4,一般价值客户,杭州,APP
U0049,2026-06-21,22,1055.0,9,3,4,4,一般价值客户,上海,门店
U0050,2026-06-28,35,1851.1000000000001,2,4,4,4,重要价值客户,北京,饿了么
U0051,2026-06-27,32,1391.0,3,4,4,4,重要价值客户,深圳,饿了么
U0052,2026-06-27,22,1051.7,3,4,4,4,重要价值客户,北京,APP
U0053,2026-06-20,29,1420.7,10,3,4,4,一般价值客户,北京,饿了么
U0054,2026-06-26,33,1876.6,4,4,4,4,重要价值客户,上海,饿了么
U0055,2026-06-25,35,1693.7,5,3,4,4,一般价值客户,杭州,小程序
U0056,2026-05-20,29,1690.7,41,2,4,4,重要唤回客户,深圳,门店
U0057,2026-06-28,25,1379.9,2,4,4,4,重要价值客户,上海,APP
U0058,2026-06-29,30,1689.7,1,4,4,4,重要价值客户,上海,小程序
U0059,2026-06-19,22,1302.1,11,3,4,4,一般价值客户,上海,饿了么
U0060,2026-06-13,18,863.1,17,2,4,4,重要唤回客户,北京,美团
U0061,2026-06-29,34,1789.6,1,4,4,4,重要价值客户,北京,门店
U0062,2026-06-30,31,1479.8,0,4,4,4,重要价值客户,成都,美团
U0063,2026-06-25,28,1515.0,5,3,4,4,一般价值客户,成都,APP
U0064,2026-06-15,28,1574.3,15,3,4,4,一般价值客户,杭州,门店
U0065,2026-06-30,30,1482.7,0,4,4,4,重要价值客户,成都,美团
U0066,2026-06-01,20,1101.4,29,2,4,4,重要唤回客户,北京,APP
U0067,2026-06-25,32,1911.0,5,3,4,4,一般价值客户,深圳,小程序
U0068,2026-06-30,26,1297.6,0,4,4,4,重要价值客户,成都,APP
U0069,2026-06-26,24,1205.4,4,4,4,4,重要价值客户,北京,小程序
U0070,2026-06-20,24,1383.5,10,3,4,4,一般价值客户,上海,APP
U0071,2026-06-27,23,1209.5,3,4,4,4,重要价值客户,上海,门店
