user_id,city,channel,member_months,signup_date
ANON-0000-0000-0001,公开数据未提供,card,3,2024-03-01
ANON-0000-0000-0002,公开数据未提供,card,1,2024-03-01
ANON-0000-0000-0003,公开数据未提供,card,7,2024-03-01
ANON-0000-0000-0004,公开数据未提供,card,7,2024-03-01
ANON-0000-0000-0005,公开数据未提供,card,1,2024-03-01
ANON-0000-0000-0006,公开数据未提供,card,1,2024-03-01
ANON-0000-0000-0007,公开数据未提供,card,1,2024-03-01
ANON-0000-0000-0008,公开数据未提供,card,1,2024-03-01
ANON-0000-0000-0009,公开数据未提供,card,5,2024-03-01
ANON-0000-0000-0010,公开数据未提供,card,1,2024-03-02
ANON-0000-0000-0011,公开数据未提供,card,1,2024-03-02
ANON-0000-0000-0012,公开数据未提供,card,10,2024-03-02
ANON-0000-0000-0013,公开数据未提供,card,1,2024-03-02
ANON-0000-0000-0014,公开数据未提供,card,1,2024-03-02
ANON-0000-0000-0015,公开数据未提供,card,1,2024-03-03
ANON-0000-0000-0016,公开数据未提供,card,1,2024-03-03
ANON-0000-0000-0017,公开数据未提供,card,1,2024-03-03
ANON-0000-0000-0018,公开数据未提供,card,1,2024-03-03
ANON-0000-0000-0019,公开数据未提供,card,12,2024-03-03
ANON-0000-0000-0020,公开数据未提供,card,1,2024-03-03
ANON-0000-0000-0021,公开数据未提供,card,1,2024-03-04
ANON-0000-0000-0022,公开数据未提供,card,1,2024-03-04
ANON-0000-0000-0023,公开数据未提供,card,1,2024-03-05
ANON-0000-0000-0024,公开数据未提供,card,3,2024-03-05
ANON-0000-0000-0025,公开数据未提供,card,3,2024-03-05
ANON-0000-0000-0026,公开数据未提供,card,2,2024-03-05
ANON-0000-0000-0027,公开数据未提供,card,1,2024-03-05
ANON-0000-0000-0028,公开数据未提供,card,1,2024-03-05
ANON-0000-0000-0029,公开数据未提供,card,1,2024-03-06
ANON-0000-0000-0030,公开数据未提供,card,1,2024-03-07
ANON-0000-0000-0031,公开数据未提供,card,1,2024-03-07
ANON-0000-0000-0032,公开数据未提供,card,1,2024-03-07
ANON-0000-0000-0033,公开数据未提供,card,2,2024-03-07
ANON-0000-0000-0034,公开数据未提供,card,1,2024-03-08
ANON-0000-0000-0035,公开数据未提供,card,1,2024-03-08
ANON-0000-0000-0036,公开数据未提供,card,1,2024-03-08
ANON-0000-0000-0037,公开数据未提供,card,1,2024-03-08
ANON-0000-0000-0038,公开数据未提供,card,1,2024-03-09
ANON-0000-0000-0039,公开数据未提供,card,1,2024-03-09
ANON-0000-0000-0040,公开数据未提供,card,9,2024-03-09
ANON-0000-0000-0041,公开数据未提供,card,1,2024-03-09
ANON-0000-0000-0042,公开数据未提供,card,9,2024-03-09
ANON-0000-0000-0043,公开数据未提供,card,1,2024-03-09
ANON-0000-0000-0044,公开数据未提供,card,1,2024-03-09
ANON-0000-0000-0045,公开数据未提供,card,1,2024-03-10
ANON-0000-0000-0046,公开数据未提供,card,12,2024-03-10
ANON-0000-0000-0047,公开数据未提供,card,1,2024-03-11
ANON-0000-0000-0048,公开数据未提供,card,1,2024-03-11
ANON-0000-0000-0049,公开数据未提供,card,1,2024-03-12
ANON-0000-0000-0050,公开数据未提供,card,10,2024-03-12
ANON-0000-0000-0051,公开数据未提供,card,1,2024-03-13
ANON-0000-0000-0052,公开数据未提供,card,1,2024-03-13
ANON-0000-0000-0053,公开数据未提供,card,1,2024-03-13
ANON-0000-0000-0054,公开数据未提供,card,7,2024-03-13
ANON-0000-0000-0055,公开数据未提供,card,1,2024-03-14
ANON-0000-0000-0056,公开数据未提供,card,1,2024-03-14
ANON-0000-0000-0057,公开数据未提供,card,1,2024-03-14
ANON-0000-0000-0058,公开数据未提供,card,3,2024-03-14
ANON-0000-0000-0059,公开数据未提供,card,4,2024-03-14
ANON-0000-0000-0060,公开数据未提供,card,1,2024-03-15
ANON-0000-0000-0061,公开数据未提供,card,1,2024-03-16
ANON-0000-0000-0062,公开数据未提供,card,1,2024-03-16
ANON-0000-0000-0063,公开数据未提供,card,1,2024-03-17
ANON-0000-0000-0064,公开数据未提供,card,1,2024-03-18
ANON-0000-0000-0065,公开数据未提供,card,1,2024-03-19
ANON-0000-0000-0066,公开数据未提供,card,1,2024-03-19
ANON-0000-0000-0067,公开数据未提供,card,1,2024-03-20
ANON-0000-0000-0068,公开数据未提供,card,1,2024-03-20
ANON-0000-0000-0069,公开数据未提供,card,1,2024-03-21
ANON-0000-0000-0070,公开数据未提供,card,1,2024-03-22
ANON-0000-0000-0071,公开数据未提供,card,1,2024-03-22
ANON-0000-0000-0072,公开数据未提供,card,1,2024-03-23
ANON-0000-0000-0073,公开数据未提供,card,1,2024-03-23
ANON-0000-0000-0074,公开数据未提供,card,1,2024-03-23
ANON-0000-0000-0075,公开数据未提供,card,1,2024-03-23
ANON-0000-0000-0076,公开数据未提供,card,1,2024-03-23
ANON-0000-0000-0077,公开数据未提供,card,5,2024-03-24
ANON-0000-0000-0078,公开数据未提供,card,1,2024-03-25
ANON-0000-0000-0079,公开数据未提供,card,1,2024-03-25
ANON-0000-0000-0080,公开数据未提供,card,1,2024-03-26
ANON-0000-0000-0081,公开数据未提供,card,1,2024-03-26
ANON-0000-0000-0082,公开数据未提供,card,1,2024-03-27
ANON-0000-0000-0083,公开数据未提供,card,1,2024-03-27
ANON-0000-0000-0084,公开数据未提供,card,7,2024-03-27
ANON-0000-0000-0085,公开数据未提供,card,1,2024-03-28
ANON-0000-0000-0086,公开数据未提供,card,1,2024-03-28
ANON-0000-0000-0087,公开数据未提供,card,1,2024-03-29
ANON-0000-0000-0088,公开数据未提供,card,1,2024-03-29
ANON-0000-0000-0089,公开数据未提供,card,1,2024-03-31
